# pyflightstream FSI convergence log (FSI-R09, FSI-R15)
# quasi-steady model: azimuthal (1P) content is trustworthy only where
# n Omega / omega_n stays at or below about 0.3 (DLV-007 Section 4.1)
call,step,phase,revolutions,solver_iteration,total_normal_force_n,tip_flap_m,tip_twist_deg,inner_solves,relaxation,config_hash
1,1,frozen,,,,,,,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
2,2,frozen,,,,,,,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
3,3,frozen,,,,,,,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
4,4,frozen,,,,,,,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
5,5,frozen,,,,,,,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
6,6,frozen,,,,,,,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
7,7,frozen,,,,,,,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
8,8,frozen,,,,,,,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
9,9,frozen,,,,,,,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
10,10,frozen,,,,,,,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
11,11,frozen,,,,,,,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
12,12,frozen,,,,,,,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
13,13,frozen,,,,,,,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
14,14,frozen,,,,,,,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
15,15,frozen,,,,,,,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
16,16,frozen,,,,,,,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
17,17,frozen,,,,,,,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
18,18,frozen,,,,,,,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
19,19,frozen,,,,,,,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
20,20,frozen,,,,,,,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
21,21,frozen,,,,,,,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
22,22,frozen,,,,,,,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
23,23,frozen,,,,,,,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
24,24,frozen,,,,,,,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
25,25,frozen,,,,,,,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
26,26,frozen,,,,,,,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
27,27,frozen,,,,,,,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
28,28,frozen,,,,,,,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
29,29,frozen,,,,,,,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
30,30,frozen,,,,,,,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
31,31,frozen,,,,,,,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
32,32,frozen,,,,,,,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
33,33,frozen,,,,,,,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
34,34,frozen,,,,,,,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
35,35,frozen,,,,,,,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
36,36,frozen,,,,,,,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
37,37,frozen,,,,,,,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
38,38,frozen,,,,,,,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
39,39,frozen,,,,,,,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
40,40,frozen,,,,,,,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
41,41,frozen,,,,,,,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
42,42,frozen,,,,,,,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
43,43,frozen,,,,,,,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
44,44,frozen,,,,,,,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
45,45,frozen,,,,,,,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
46,46,frozen,,,,,,,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
47,47,frozen,,,,,,,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
48,48,frozen,,,,,,,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
49,49,frozen,,,,,,,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
50,50,frozen,,,,,,,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
51,51,frozen,,,,,,,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
52,52,frozen,,,,,,,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
53,53,frozen,,,,,,,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
54,54,frozen,,,,,,,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
