# pyflightstream FSI convergence log (FSI-R09, FSI-R15)
# quasi-steady model: azimuthal (1P) content is trustworthy only where
# n Omega / omega_n stays at or below about 0.3 (DLV-007 Section 4.1)
call,step,phase,revolutions,solver_iteration,total_normal_force_n,tip_flap_m,tip_twist_deg,inner_solves,relaxation,config_hash
1,1,1,0.031522,108,26239.600000,0.000000e+00,0.000000e+00,0,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
2,2,1,0.063044,154,26124.400000,0.000000e+00,0.000000e+00,0,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
3,3,1,0.094566,175,26119.800000,0.000000e+00,0.000000e+00,0,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
4,4,1,0.126088,223,25638.700000,0.000000e+00,0.000000e+00,0,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
5,5,1,0.157610,272,25120.100000,0.000000e+00,0.000000e+00,0,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
6,6,1,0.189132,321,24599.800000,0.000000e+00,0.000000e+00,0,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
7,7,1,0.220654,369,24114.500000,0.000000e+00,0.000000e+00,0,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
8,8,1,0.252176,416,23675.700000,0.000000e+00,0.000000e+00,0,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
9,9,1,0.283698,461,23290.600000,0.000000e+00,0.000000e+00,0,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
10,10,1,0.315220,504,22958.000000,0.000000e+00,0.000000e+00,0,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
11,11,1,0.346742,543,22675.600000,0.000000e+00,0.000000e+00,0,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
12,12,1,0.378264,575,22442.400000,0.000000e+00,0.000000e+00,0,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
13,13,1,0.409786,601,22249.800000,0.000000e+00,0.000000e+00,0,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
14,14,1,0.441308,626,22087.900000,0.000000e+00,0.000000e+00,0,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
15,15,1,0.472830,651,21954.000000,0.000000e+00,0.000000e+00,0,,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
16,16,2,0.504352,675,21846.200000,8.965845e-05,4.633407e-04,2,0.400,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
17,17,2,0.535874,720,21758.200000,8.887953e-05,4.592911e-04,2,0.400,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
18,18,2,0.567396,765,21687.800000,8.812466e-05,4.560632e-04,2,0.400,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
19,19,2,0.598918,809,21631.100000,8.735799e-05,4.528087e-04,2,0.400,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
20,20,2,0.630440,853,21585.200000,8.666001e-05,4.499285e-04,2,0.400,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
21,21,2,0.661962,897,21548.000000,8.603644e-05,4.474274e-04,2,0.400,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
22,22,2,0.693484,941,21518.500000,8.548869e-05,4.452859e-04,2,0.400,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
23,23,2,0.725006,985,21494.700000,8.501282e-05,4.434762e-04,2,0.400,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
24,24,2,0.756528,1029,21475.100000,8.460323e-05,4.419563e-04,2,0.400,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
25,25,2,0.788050,1073,21460.600000,8.425355e-05,4.407005e-04,2,0.400,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
26,26,2,0.819572,1117,21451.100000,8.395759e-05,4.396609e-04,2,0.400,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
27,27,2,0.851094,1160,21445.400000,8.370908e-05,4.388086e-04,2,0.400,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
28,28,2,0.882616,1203,21442.200000,8.350076e-05,4.381039e-04,2,0.400,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
29,29,2,0.914138,1246,21439.600000,8.332687e-05,4.375105e-04,2,0.400,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
30,30,2,0.945660,1289,21439.200000,8.318335e-05,4.370329e-04,2,0.400,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
31,31,2,0.977182,1332,21439.700000,8.306594e-05,4.366473e-04,2,0.400,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
32,32,3,1.008704,1375,21440.600000,8.297052e-05,4.363339e-04,2,0.400,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
33,33,3,1.040226,1418,21441.700000,8.289365e-05,4.360863e-04,2,0.400,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
34,34,3,1.071748,1461,21442.900000,8.283185e-05,4.358902e-04,2,0.400,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
35,35,3,1.103270,1504,21444.400000,8.278302e-05,4.357342e-04,2,0.400,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
36,36,3,1.134792,1547,21445.200000,8.274532e-05,4.356091e-04,2,0.400,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
37,37,3,1.166314,1590,21447.100000,8.271648e-05,4.355214e-04,2,0.400,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
38,38,3,1.197836,1633,21447.200000,8.269492e-05,4.354537e-04,2,0.400,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
39,39,3,1.229358,1676,21448.500000,8.267997e-05,4.354039e-04,2,0.400,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
40,40,3,1.260880,1719,21449.100000,8.267010e-05,4.353748e-04,2,0.400,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
41,41,3,1.292402,1762,21449.700000,8.266456e-05,4.353551e-04,2,0.400,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
42,42,3,1.323924,1805,21450.100000,8.266172e-05,4.353444e-04,2,0.400,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
43,43,3,1.355446,1848,21450.800000,8.266084e-05,4.353384e-04,2,0.400,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
44,44,3,1.386968,1890,21451.600000,8.266155e-05,4.353379e-04,2,0.400,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
45,45,3,1.418490,1932,21452.100000,8.266345e-05,4.353448e-04,2,0.400,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
46,46,3,1.450012,1974,21452.400000,8.266589e-05,4.353582e-04,2,0.400,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
47,47,3,1.481534,2016,21452.700000,8.266861e-05,4.353731e-04,2,0.400,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
48,48,3,1.513056,2058,21453.000000,8.267152e-05,4.353873e-04,2,0.400,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
49,49,3,1.544578,2100,21453.300000,8.267437e-05,4.354016e-04,2,0.400,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
50,50,3,1.576100,2142,21453.600000,8.267728e-05,4.354159e-04,2,0.400,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
51,51,3,1.607622,2184,21453.700000,8.268017e-05,4.354302e-04,2,0.400,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
52,52,3,1.639144,2226,21454.300000,8.268263e-05,4.354435e-04,2,0.400,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
53,53,3,1.670666,2268,21454.400000,8.268497e-05,4.354496e-04,2,0.400,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
54,54,3,1.702188,2310,21454.500000,8.268756e-05,4.354593e-04,2,0.400,9e81ff408da6b50ec49187c0780277fc962d023652037b079cfb6df1834d7058
