# pyflightstream FSI convergence log (FSI-R09, FSI-R15)
# quasi-steady model: azimuthal (1P) content is trustworthy only where
# n Omega / omega_n stays at or below about 0.3 (DLV-007 Section 4.1)
call,step,phase,revolutions,solver_iteration,total_normal_force_n,tip_flap_m,tip_twist_deg,inner_solves,relaxation,config_hash
1,1,1,0.027779,108,1154.280273,0.000000e+00,0.000000e+00,0,,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
2,2,1,0.055558,154,1147.276457,0.000000e+00,0.000000e+00,0,,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
3,3,1,0.083336,175,1147.051386,0.000000e+00,0.000000e+00,0,,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
4,4,1,0.111115,223,1124.766066,0.000000e+00,0.000000e+00,0,,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
5,5,1,0.138894,272,1100.916818,0.000000e+00,0.000000e+00,0,,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
6,6,1,0.166673,321,1077.067962,0.000000e+00,0.000000e+00,0,,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
7,7,1,0.194451,369,1054.815451,0.000000e+00,0.000000e+00,0,,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
8,8,1,0.222230,416,1034.662733,0.000000e+00,0.000000e+00,0,,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
9,9,1,0.250009,461,1016.912065,0.000000e+00,0.000000e+00,0,,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
10,10,1,0.277788,504,1001.531036,0.000000e+00,0.000000e+00,0,,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
11,11,1,0.305566,543,988.429235,0.000000e+00,0.000000e+00,0,,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
12,12,1,0.333345,575,977.468616,0.000000e+00,0.000000e+00,0,,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
13,13,1,0.361124,601,968.404714,0.000000e+00,0.000000e+00,0,,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
14,14,1,0.388903,626,960.744936,0.000000e+00,0.000000e+00,0,,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
15,15,1,0.416681,651,954.365646,0.000000e+00,0.000000e+00,0,,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
16,16,1,0.444460,675,949.184826,0.000000e+00,0.000000e+00,0,,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
17,17,1,0.472239,699,944.919536,0.000000e+00,0.000000e+00,0,,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
18,18,2,0.500018,722,941.482981,5.303534e-03,1.051489e+00,3,0.400,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
19,19,2,0.527796,766,938.663766,5.253029e-03,1.048205e+00,3,0.400,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
20,20,2,0.555575,810,936.379574,5.203926e-03,1.045544e+00,3,0.400,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
21,21,2,0.583354,854,934.529813,5.154334e-03,1.042869e+00,3,0.400,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
22,22,2,0.611133,898,933.028724,5.109380e-03,1.040509e+00,3,0.400,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
23,23,2,0.638912,942,931.818618,5.069366e-03,1.038467e+00,3,0.400,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
24,24,2,0.666690,986,930.819802,5.034307e-03,1.036727e+00,3,0.400,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
25,25,2,0.694469,1030,930.047529,5.003924e-03,1.035262e+00,3,0.400,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
26,26,2,0.722248,1074,929.567764,4.977869e-03,1.034043e+00,3,0.400,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
27,27,2,0.750027,1117,929.262219,4.955720e-03,1.033041e+00,3,0.400,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
28,28,2,0.777805,1160,929.090718,4.937034e-03,1.032216e+00,3,0.400,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
29,29,2,0.805584,1203,928.955127,4.921369e-03,1.031541e+00,3,0.400,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
30,30,2,0.833363,1246,928.910581,4.908295e-03,1.030987e+00,3,0.400,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
31,31,2,0.861142,1289,928.922516,4.897413e-03,1.030528e+00,3,0.400,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
32,32,2,0.888920,1332,928.970245,4.888460e-03,1.030161e+00,3,0.400,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
33,33,2,0.916699,1375,929.017588,4.881144e-03,1.029867e+00,3,0.400,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
34,34,2,0.944478,1418,929.069640,4.875195e-03,1.029631e+00,3,0.400,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
35,35,2,0.972257,1461,929.126542,4.870408e-03,1.029445e+00,3,0.400,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
36,36,3,1.000035,1505,929.188162,4.866584e-03,1.029298e+00,3,0.400,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
37,37,3,1.027814,1633,929.229162,4.863549e-03,1.029179e+00,3,0.400,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
38,38,3,1.055593,1678,929.255999,4.861191e-03,1.029087e+00,3,0.400,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
39,39,3,1.083372,1721,929.212674,4.859210e-03,1.029014e+00,3,0.400,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
40,40,3,1.111150,1764,929.138493,4.857678e-03,1.028958e+00,3,0.400,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
41,41,3,1.138929,1807,929.132381,4.856534e-03,1.028914e+00,3,0.400,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
42,42,3,1.166708,1850,929.099460,4.855733e-03,1.028883e+00,3,0.400,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
43,43,3,1.194487,1892,929.097239,4.855202e-03,1.028859e+00,3,0.400,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
44,44,3,1.222266,1934,929.114585,4.854866e-03,1.028840e+00,3,0.400,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
45,45,3,1.250044,1976,929.154329,4.854674e-03,1.028824e+00,3,0.400,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
46,46,3,1.277823,2018,929.184479,4.854577e-03,1.028813e+00,3,0.400,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
47,47,3,1.305602,2060,929.222281,4.854560e-03,1.028808e+00,3,0.400,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
48,48,3,1.333381,2102,929.255413,4.854586e-03,1.028808e+00,3,0.400,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
49,49,3,1.361159,2144,929.290003,4.854644e-03,1.028812e+00,3,0.400,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
50,50,3,1.388938,2186,929.335286,4.854719e-03,1.028814e+00,3,0.400,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
51,51,3,1.416717,2228,929.364866,4.854795e-03,1.028818e+00,3,0.400,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
52,52,3,1.444496,2271,929.419717,4.854890e-03,1.028825e+00,3,0.400,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
53,53,3,1.472274,2313,929.444902,4.854978e-03,1.028831e+00,3,0.400,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
54,54,3,1.500053,2355,929.466475,4.855058e-03,1.028837e+00,3,0.400,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
55,55,3,1.527832,2397,929.503086,4.855164e-03,1.028848e+00,3,0.400,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
56,56,3,1.555611,2439,929.547382,4.855267e-03,1.028858e+00,3,0.400,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
57,57,3,1.583389,2481,929.573969,4.855552e-03,1.028872e+00,3,0.400,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
58,58,3,1.611168,2523,929.591706,4.855850e-03,1.028885e+00,3,0.400,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
59,59,3,1.638947,2565,929.610972,4.856142e-03,1.028900e+00,3,0.400,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
60,60,3,1.666726,2607,929.649829,4.856424e-03,1.028914e+00,3,0.400,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
61,61,3,1.694505,2649,929.680430,4.856695e-03,1.028929e+00,3,0.400,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
62,62,3,1.722283,2691,929.709072,4.856949e-03,1.028945e+00,3,0.400,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
63,63,3,1.750062,2733,929.721905,4.857176e-03,1.028965e+00,3,0.400,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
64,64,3,1.777841,2775,929.748842,4.857393e-03,1.028984e+00,3,0.400,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
65,65,3,1.805620,2817,929.764895,4.857587e-03,1.029001e+00,3,0.400,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
66,66,3,1.833398,2859,929.778051,4.857771e-03,1.029015e+00,3,0.400,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
67,67,3,1.861177,2901,929.786250,4.857946e-03,1.029027e+00,3,0.400,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
68,68,3,1.888956,2943,929.794990,4.858100e-03,1.029038e+00,3,0.400,6d44efecb0218297163e65166f76b1530e3f5928d9a49753d8e2ec0d5a1fe1e9
